frame,time_sec,elbow_angle,knee_angle,shoulder_angle,trunk_lean,hip_height,wrist_height,wrist_above_head,wrist_ahead_of_shoulder,torso_px
232,8.001,173.1,146.9,12.2,17.3,4.497,4.442,-1.342,-0.039,37.4
233,8.035,173.7,157.8,13.2,19.3,4.565,4.534,-1.339,-0.056,36.9
234,8.07,168.3,163.2,12.4,22.1,4.572,4.531,-1.34,-0.078,36.7
235,8.104,165.7,171.3,10.3,22.3,4.58,4.526,-1.343,-0.097,36.2
236,8.139,166.1,175.4,9.6,21.5,4.526,4.498,-1.358,-0.093,36.1
237,8.173,173.8,175.8,12.3,20.1,4.502,4.463,-1.355,-0.083,35.7
238,8.208,175.3,179.4,10.1,18.0,4.562,4.509,-1.416,-0.095,34.8
239,8.242,174.9,169.1,10.5,18.1,4.55,4.51,-1.351,-0.088,34.3
240,8.277,176.0,157.9,13.0,18.6,4.538,4.455,-1.381,-0.064,34.2
241,8.311,174.5,153.8,13.3,17.5,4.611,4.545,-1.401,-0.029,34.0
242,8.346,174.7,153.8,15.8,18.7,4.877,4.776,-1.369,-0.006,32.7
243,8.38,176.3,162.0,15.8,17.1,4.949,4.851,-1.372,0.009,32.6
244,8.415,173.0,163.7,16.1,18.0,5.127,5.0,-1.422,0.024,32.2
245,8.449,169.0,160.8,17.2,20.8,5.161,5.03,-1.434,0.026,32.2
246,8.484,171.0,164.8,18.5,19.5,5.212,5.126,-1.319,0.05,32.2
247,8.518,170.2,174.8,20.0,19.9,5.201,5.122,-1.35,0.074,32.2
248,8.553,173.9,175.0,24.1,19.8,5.193,5.126,-1.331,0.123,32.2
249,8.587,171.7,176.0,23.1,18.3,5.165,5.092,-1.352,0.15,32.1
250,8.622,167.7,169.7,27.0,20.1,5.134,5.099,-1.341,0.202,32.1
251,8.656,168.1,175.7,30.8,20.4,5.174,5.156,-1.307,0.261,31.7
252,8.69,164.2,160.3,32.0,20.4,5.212,5.237,-1.298,0.298,31.1
253,8.725,164.0,155.7,38.0,22.5,5.245,5.288,-1.239,0.363,30.6
254,8.759,160.0,152.7,39.4,24.0,5.344,5.421,-1.178,0.379,29.9
255,8.794,153.8,147.4,40.0,22.8,5.305,5.44,-1.121,0.431,29.8
256,8.828,168.9,147.2,50.5,22.4,5.558,5.676,-1.154,0.509,28.4
257,8.863,149.5,132.5,45.8,22.5,5.62,5.756,-1.17,0.574,28.1
258,8.897,130.6,105.7,50.5,26.3,5.595,5.892,-0.957,0.685,28.1
259,8.932,126.9,90.0,45.0,22.1,5.679,5.937,-0.888,0.756,28.1
260,8.966,120.6,76.8,19.1,13.8,5.716,5.897,-1.028,0.509,28.1
261,9.001,100.3,76.7,3.4,11.9,5.651,5.926,-0.962,0.373,28.5
262,9.035,118.6,77.1,13.4,12.5,5.663,5.851,-1.101,0.455,28.6
263,9.07,122.6,85.8,13.9,8.8,5.558,5.773,-1.103,0.444,29.1
264,9.104,131.0,97.0,11.9,7.7,5.509,5.65,-1.15,0.425,29.7
265,9.139,135.7,112.4,18.2,5.9,5.577,5.676,-1.171,0.437,29.7
266,9.173,131.9,125.1,13.9,3.1,5.547,5.625,-1.236,0.601,29.7
267,9.208,121.7,131.6,7.4,2.4,5.529,5.671,-1.205,0.485,29.6
268,9.242,113.0,120.5,2.1,4.7,5.59,5.756,-1.123,0.377,29.5
269,9.277,135.3,158.1,8.5,9.9,5.621,5.69,-1.096,0.275,29.6
270,9.311,,,,,,,,,
271,9.346,,,,,,,,,
272,9.38,,,,,,,,,
273,9.415,,,,,,,,,
274,9.449,,,,,,,,,
275,9.484,,,,,,,,,
276,9.518,,,,,,,,,
277,9.553,,,,,,,,,
278,9.587,,,,,,,,,
279,9.622,,,,,,,,,
280,9.656,,,,,,,,,
281,9.691,,,,,,,,,
282,9.725,,,,,,,,,
283,9.76,,,,,,,,,
284,9.794,,,,,,,,,
285,9.829,,,,,,,,,
286,9.863,,,,,,,,,
287,9.897,,,,,,,,,
288,9.932,,,,,,,,,
289,9.966,,,,,,,,,
290,10.001,,,,,,,,,
291,10.035,,,,,,,,,
292,10.07,,,,,,,,,
293,10.104,,,,,,,,,
294,10.139,,,,,,,,,
295,10.173,,,,,,,,,
296,10.208,,,,,,,,,
297,10.242,,,,,,,,,
298,10.277,,,,,,,,,
299,10.311,,,,,,,,,
300,10.346,,,,,,,,,
301,10.38,,,,,,,,,
302,10.415,,,,,,,,,
303,10.449,,,,,,,,,
304,10.484,,,,,,,,,
305,10.518,,,,,,,,,
306,10.553,,,,,,,,,
307,10.587,,,,,,,,,
308,10.622,,,,,,,,,
309,10.656,,,,,,,,,
310,10.691,,,,,,,,,
311,10.725,,,,,,,,,
312,10.76,,,,,,,,,
313,10.794,,,,,,,,,
314,10.829,,,,,,,,,
315,10.863,,,,,,,,,
316,10.898,,,,,,,,,
